PALABRA,CATEGORÍA,TIPO,GENERO,NÚMERO
acido_clorhídrico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ácido_fólico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ácido_láctico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ácido_sulfúrico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ácido_úrico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ácidos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acierto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aciertos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acompañante,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
acompañantes,SUSTANTIVO,COMÚN,COMÚN,PLURAL
acontecimiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acontecimientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acre,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acre_pie,SUSTANTIVO,COMÚN,,
acreedor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acreedores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acres,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acta,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
acta_de_defunción,SUSTANTIVO,COMÚN,,
acta_de_nacimiento,SUSTANTIVO,COMÚN,,
acta_final,SUSTANTIVO,COMÚN,,
actas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
actitud,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
actitudes,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
actividad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
actividad_artística,SUSTANTIVO,COMÚN,,
actividad_econímica,SUSTANTIVO,COMÚN,,
actividad_empresarial,SUSTANTIVO,COMÚN,,
actividad_extraescolar,SUSTANTIVO,COMÚN,,
actividad_financiera,SUSTANTIVO,COMÚN,,
actividad_humana,SUSTANTIVO,COMÚN,,
actividad_industrial,SUSTANTIVO,COMÚN,,
actividad_pesquera,SUSTANTIVO,COMÚN,,
actividades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
actividades_al_aire_libre,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
acto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acto_administrativo,SUSTANTIVO,COMÚN,,
acto_impugnado,SUSTANTIVO,COMÚN,,
acto_jurídico,SUSTANTIVO,COMÚN,,
actor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
actores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
actos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
actrices,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
actriz,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
actuación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
actuación_administrativa,SUSTANTIVO,COMÚN,,
actuación_judicial,SUSTANTIVO,COMÚN,,
actuaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
actualidad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
actualidades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
acuerdo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acuerdo_de_paz,SUSTANTIVO,COMÚN,,
acuerdo_internacional,SUSTANTIVO,COMÚN,,
acuerdos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acumulación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
acumulaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
acusación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
acusaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
acusado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acusados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
adaptación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
adaptaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
adelanto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
adelantos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ademán,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ademanes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
adhesión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
adhesiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
adiós,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
adioses,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
adjetivo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
adjetivos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
administración,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
administración_civil,SUSTANTIVO,COMÚN,,
administración_del_estado,SUSTANTIVO,COMÚN,,
administración_educativa,SUSTANTIVO,COMÚN,,
administración_general,SUSTANTIVO,COMÚN,,
administración_municipal,SUSTANTIVO,COMÚN,,
administraciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
administrador,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
administradores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
admiración,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
admiraciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
adobo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
adobos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
adolescencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
adolescencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
adolescente,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
adolescentes,SUSTANTIVO,COMÚN,COMÚN,PLURAL
adopción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
adopciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
adorno,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
adornos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
adquisición,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
adquisiciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
adulto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
adultos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
adversario,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
adversarios,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
advertencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
advertencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
aeropuerto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aeropuerto_internacional,SUSTANTIVO,COMÚN,,
aeropuertos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
aes,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
afín,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
afanes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
afección,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
afecciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
afecto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
afectos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
afición,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
aficionado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aficionados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
aficiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
afiliado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
afiliados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
afinidad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
afinidades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
afirmación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
afirmaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
afloramiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
afloramientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
afluente,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
afluentes,SUSTANTIVO,COMÚN,COMÚN,PLURAL
agencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agencia_de_protección_de_datos,SUSTANTIVO,COMÚN,,
agencia_de_viajes,SUSTANTIVO,COMÚN,,
agencia_espacial_europea,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
agenda_electrónica,SUSTANTIVO,COMÚN,,
agente,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
agente,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
agente_social,SUSTANTIVO,COMÚN,,
agentes,SUSTANTIVO,COMÚN,COMÚN,PLURAL
agentes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
agitación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agitaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
agosto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
agostos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
agresión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agresión_sexual,SUSTANTIVO,COMÚN,,
agresiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
agresividad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agresividades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
agricultor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
agricultores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
agricultura,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agriculturas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
agrupación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agrupaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
agrupamiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
agrupamientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
agua,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agua_destilada,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agua_dulce,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agua_subterránea,SUSTANTIVO,COMÚN,,
agua_superficial,SUSTANTIVO,COMÚN,,
aguas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
aguas_continentales,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
aguas_pluviales,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
aguas_territoriales,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
águila,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
águilas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
aguja,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
agujas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
agujero,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
agujeros,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ahínco,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ahíncos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ahorro,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ahorros,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
aire,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aire_puro,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aires,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
aislamiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aislamiento_térmico,SUSTANTIVO,COMÚN,,
aislamientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ala,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alameda,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alamedas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alarma,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alarmas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
albañil,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
albañiles,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alberca,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
albercas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alborozo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alborozos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alcalde,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alcaldes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alcaldía,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alcaldía_mayor,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alcaldías,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alcance,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alcances,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alcázar,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alcázares,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alcoba,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alcobas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alcohol,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alcohol_etílico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alcoholes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alcoholismo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alcoholismos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alcornoque,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
alcornoque,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alcornoques,SUSTANTIVO,COMÚN,COMÚN,PLURAL
alcornoques,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
aldea,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
aldeas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alegría,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alegrías,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alemán,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alemanes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alero,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
alero,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aleros,SUSTANTIVO,COMÚN,COMÚN,PLURAL
aleros,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alfabeto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alfabetos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alfiler,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alfileres,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alfombra,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alfombras,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
álgebra,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
álgebras,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
algodón,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
algodones,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
algoritmo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
algoritmos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
aliado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aliados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alianza,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alianza_estratégica,SUSTANTIVO,COMÚN,,
alianzas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
aliento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alimentación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alimentaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alimento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alimentos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alivio,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alivios,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alma,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alma_humana,SUSTANTIVO,COMÚN,,
almacén,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
almacenes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
almas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
almireces,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
almirez,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
almohada,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
almohadas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
almuerzo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
almuerzos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alquiler,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alquileres,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
altar,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
altar_mayor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
altares,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
altavoces,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
altavoz,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alteración,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alteraciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alternancia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alternancias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alternativa,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alternativas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
altiplano,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
altiplanos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
altitud,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
altitudes,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alto_el_fuego,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
altura,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alturas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alubia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alubias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
aluminio,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aluminios,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alumno,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
alumnos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
alusión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alusiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
alzada,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
alzadas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
amanecer,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
amaneceres,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amante,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
amantes,SUSTANTIVO,COMÚN,COMÚN,PLURAL
amargura,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
amarguras,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
ambición,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
ambiciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
ambiente,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ambiente_de_trabajo,SUSTANTIVO,COMÚN,,
ambiente_familiar,SUSTANTIVO,COMÚN,,
ambiente_social,SUSTANTIVO,COMÚN,,
ambientes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ambigüedad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
ambigüedades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
ámbito,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ámbito_de_aplicación,SUSTANTIVO,COMÚN,,
ámbito_territorial,SUSTANTIVO,COMÚN,,
ámbitos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amenaza,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
amenazas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
americano,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
americanos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ámgstrong,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amiga,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
amigas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
amigo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
amigos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amistad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
amistades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
amo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
amor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
amores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amparo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
amparos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ampere,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amperes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amperio,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
amperios,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ampliación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
ampliaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
amplitud,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
amplitudes,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
ana,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
análisis,SUSTANTIVO,COMÚN,MASCULINO,INVARIABLE
