PALABRA,CATEGORÍA,TERMINACIÓN,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abichar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abieldar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abigarrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abisagrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abiselar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abismar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abjurar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ablandar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ablandecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ablandir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
ablentar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abluir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abnegar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abobar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abocadear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abocanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abocar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abocardar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abocetar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abochornar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abocinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abofar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abofetear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abolicionar,VERBO,AR,,,,NORECONOCIDO
abolir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abollar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abollonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abolsar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abombar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abominar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abonanzar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abondar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
aboquillar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abordar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abordonar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
aborrajar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
aborrascar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
aborrecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aborregar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
aborrir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
aborronar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abortar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aborujar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abotagar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abotargar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abotonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abovedar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aboyar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abozalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abracar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abracijar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abrahonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrasar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abravar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abravecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrazar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrenunciar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
abretonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrevar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abreviar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrezar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abribonar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abrigar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrillantar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abriolar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrochar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrogar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abromar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abroncar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abroquelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrotoñar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abrumar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abruzar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
absconder,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
absentar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
absolutizar,VERBO,AR,,,,NORECONOCIDO
absolver,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
absorber,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
absortar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abstener,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
absterger,VERBO,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abstraer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abuñolar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abuñuelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abuchear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abulagar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abultar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abundar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aburar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aburguesar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
aburrar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
aburrir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aburujar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abusar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abuzar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acañaverear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acañonenear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acabañar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acabalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaballar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaballerar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaballonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acabar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acabdar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acabdellar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acabdillar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acabestrillar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acabildar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acabtar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acachar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acachetar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acachetear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acachorrar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
academizar,VERBO,AR,,,,NORECONOCIDO
acaecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acafelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaguar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acairelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acalabrotar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acalambrar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acaldar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acalenturar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acallantar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acallar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acalmar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acaloñar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acalorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acalugar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acalumniar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acamar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acampanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acampar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acanalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acanallar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acanelonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acantalear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acantear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acantilar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acantonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaparar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaparrar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acapillar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acapizar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acaptar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acapullar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaramelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acarar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acardenalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acarear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acariciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaronar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acarralar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acarrar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acarrazar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acarrear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acarretar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acartonar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acaserar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acatar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acatarrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaudalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acaudillar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acceder,VERBO,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
accender,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
accidentar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
accionar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acebadar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acechar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acecinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acedar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aceitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acelerar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acemilar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acender,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acendrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acensar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acensuar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acentuar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acepar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acepillar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aceptar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acequiar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acerar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acerbar,VERBO,AR,,,,NORECONOCIDO
acercar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acernadar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acerrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acerrojar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acertar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acervar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acetar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acetificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acetrinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acevilar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acezar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achabacanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achacar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achaflanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achajuanar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
achancar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achantar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achaparrar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
achaplinar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acharar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acharolar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achatar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achicar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achicharrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achiguar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
achinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achiquitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achispar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achocar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achochar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
acholar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achubascar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
achuchar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achucharrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achucuyar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achulapar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
achular,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
achunchar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achuntar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
achurar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acibarar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acibarrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aciberar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acicalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acicatear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acidificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acidular,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aciemar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aciguatar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acimentar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
acinturar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
acivilar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
