PALABRA,CATEGORÍA,TIPO,GENERO,NUMERO
adhesión,NOMBRE,COMÚN,FEMENINO,SINGULAR
adhesiones,NOMBRE,COMÚN,FEMENINO,PLURAL
adiós,NOMBRE,COMÚN,MASCULINO,SINGULAR
adioses,NOMBRE,COMÚN,MASCULINO,PLURAL
adjetivo,NOMBRE,COMÚN,MASCULINO,SINGULAR
adjetivos,NOMBRE,COMÚN,MASCULINO,PLURAL
administración,NOMBRE,COMÚN,FEMENINO,SINGULAR
administración_civil,NOMBRE,COMÚN,,
administración_del_estado,NOMBRE,COMÚN,,
administración_educativa,NOMBRE,COMÚN,,
administración_general,NOMBRE,COMÚN,,
administración_municipal,NOMBRE,COMÚN,,
administraciones,NOMBRE,COMÚN,FEMENINO,PLURAL
administrador,NOMBRE,COMÚN,MASCULINO,SINGULAR
administradores,NOMBRE,COMÚN,MASCULINO,PLURAL
admiración,NOMBRE,COMÚN,FEMENINO,SINGULAR
admiraciones,NOMBRE,COMÚN,FEMENINO,PLURAL
adobo,NOMBRE,COMÚN,MASCULINO,SINGULAR
adobos,NOMBRE,COMÚN,MASCULINO,PLURAL
adolescencia,NOMBRE,COMÚN,FEMENINO,SINGULAR
adolescencias,NOMBRE,COMÚN,FEMENINO,PLURAL
adolescente,NOMBRE,COMÚN,COMÚN,SINGULAR
adolescentes,NOMBRE,COMÚN,COMÚN,PLURAL
adopción,NOMBRE,COMÚN,FEMENINO,SINGULAR
adopciones,NOMBRE,COMÚN,FEMENINO,PLURAL
adorno,NOMBRE,COMÚN,MASCULINO,SINGULAR
adornos,NOMBRE,COMÚN,MASCULINO,PLURAL
adquisición,NOMBRE,COMÚN,FEMENINO,SINGULAR
adquisiciones,NOMBRE,COMÚN,FEMENINO,PLURAL
adulto,NOMBRE,COMÚN,MASCULINO,SINGULAR
adultos,NOMBRE,COMÚN,MASCULINO,PLURAL
adversario,NOMBRE,COMÚN,MASCULINO,SINGULAR
adversarios,NOMBRE,COMÚN,MASCULINO,PLURAL
advertencia,NOMBRE,COMÚN,FEMENINO,SINGULAR
advertencias,NOMBRE,COMÚN,FEMENINO,PLURAL
aeropuerto,NOMBRE,COMÚN,MASCULINO,SINGULAR
aeropuerto_internacional,NOMBRE,COMÚN,,
aeropuertos,NOMBRE,COMÚN,MASCULINO,PLURAL
aes,NOMBRE,COMÚN,FEMENINO,PLURAL
afín,NOMBRE,COMÚN,MASCULINO,SINGULAR
afanes,NOMBRE,COMÚN,MASCULINO,PLURAL
afección,NOMBRE,COMÚN,FEMENINO,SINGULAR
afecciones,NOMBRE,COMÚN,FEMENINO,PLURAL
afecto,NOMBRE,COMÚN,MASCULINO,SINGULAR
afectos,NOMBRE,COMÚN,MASCULINO,PLURAL
afición,NOMBRE,COMÚN,FEMENINO,SINGULAR
aficionado,NOMBRE,COMÚN,MASCULINO,SINGULAR
aficionados,NOMBRE,COMÚN,MASCULINO,PLURAL
aficiones,NOMBRE,COMÚN,FEMENINO,PLURAL
afiliado,NOMBRE,COMÚN,MASCULINO,SINGULAR
afiliados,NOMBRE,COMÚN,MASCULINO,PLURAL
afinidad,NOMBRE,COMÚN,FEMENINO,SINGULAR
afinidades,NOMBRE,COMÚN,FEMENINO,PLURAL
afirmación,NOMBRE,COMÚN,FEMENINO,SINGULAR
afirmaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
afloramiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
afloramientos,NOMBRE,COMÚN,MASCULINO,PLURAL
afluente,NOMBRE,COMÚN,COMÚN,SINGULAR
afluentes,NOMBRE,COMÚN,COMÚN,PLURAL
agencia,NOMBRE,COMÚN,FEMENINO,SINGULAR
agencia_de_protección_de_datos,NOMBRE,COMÚN,,
agencia_de_viajes,NOMBRE,COMÚN,,
agencia_espacial_europea,NOMBRE,COMÚN,FEMENINO,SINGULAR
agencias,NOMBRE,COMÚN,FEMENINO,PLURAL
agenda_electrónica,NOMBRE,COMÚN,,
agente,NOMBRE,COMÚN,COMÚN,SINGULAR
agente,NOMBRE,COMÚN,MASCULINO,SINGULAR
agente_social,NOMBRE,COMÚN,,
agentes,NOMBRE,COMÚN,COMÚN,PLURAL
agentes,NOMBRE,COMÚN,MASCULINO,PLURAL
agitación,NOMBRE,COMÚN,FEMENINO,SINGULAR
agitaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
agosto,NOMBRE,COMÚN,MASCULINO,SINGULAR
agostos,NOMBRE,COMÚN,MASCULINO,PLURAL
agresión,NOMBRE,COMÚN,FEMENINO,SINGULAR
agresión_sexual,NOMBRE,COMÚN,,
agresiones,NOMBRE,COMÚN,FEMENINO,PLURAL
agresividad,NOMBRE,COMÚN,FEMENINO,SINGULAR
agresividades,NOMBRE,COMÚN,FEMENINO,PLURAL
agricultor,NOMBRE,COMÚN,MASCULINO,SINGULAR
agricultores,NOMBRE,COMÚN,MASCULINO,PLURAL
agricultura,NOMBRE,COMÚN,FEMENINO,SINGULAR
agriculturas,NOMBRE,COMÚN,FEMENINO,PLURAL
agrupación,NOMBRE,COMÚN,FEMENINO,SINGULAR
agrupaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
agrupamiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
agrupamientos,NOMBRE,COMÚN,MASCULINO,PLURAL
agua,NOMBRE,COMÚN,FEMENINO,SINGULAR
agua_destilada,NOMBRE,COMÚN,FEMENINO,SINGULAR
agua_dulce,NOMBRE,COMÚN,FEMENINO,SINGULAR
agua_subterránea,NOMBRE,COMÚN,,
agua_superficial,NOMBRE,COMÚN,,
aguas,NOMBRE,COMÚN,FEMENINO,PLURAL
aguas_continentales,NOMBRE,COMÚN,FEMENINO,PLURAL
aguas_pluviales,NOMBRE,COMÚN,FEMENINO,PLURAL
aguas_territoriales,NOMBRE,COMÚN,FEMENINO,PLURAL
águila,NOMBRE,COMÚN,FEMENINO,SINGULAR
águilas,NOMBRE,COMÚN,FEMENINO,PLURAL
aguja,NOMBRE,COMÚN,FEMENINO,SINGULAR
agujas,NOMBRE,COMÚN,FEMENINO,PLURAL
agujero,NOMBRE,COMÚN,MASCULINO,SINGULAR
agujeros,NOMBRE,COMÚN,MASCULINO,PLURAL
ahínco,NOMBRE,COMÚN,MASCULINO,SINGULAR
ahíncos,NOMBRE,COMÚN,MASCULINO,PLURAL
ahorro,NOMBRE,COMÚN,MASCULINO,SINGULAR
ahorros,NOMBRE,COMÚN,MASCULINO,PLURAL
aire,NOMBRE,COMÚN,MASCULINO,SINGULAR
aire_puro,NOMBRE,COMÚN,MASCULINO,SINGULAR
aires,NOMBRE,COMÚN,MASCULINO,PLURAL
aislamiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
aislamiento_térmico,NOMBRE,COMÚN,,
aislamientos,NOMBRE,COMÚN,MASCULINO,PLURAL
ala,NOMBRE,COMÚN,FEMENINO,SINGULAR
alameda,NOMBRE,COMÚN,FEMENINO,SINGULAR
alamedas,NOMBRE,COMÚN,FEMENINO,PLURAL
alarma,NOMBRE,COMÚN,FEMENINO,SINGULAR
alarmas,NOMBRE,COMÚN,FEMENINO,PLURAL
alas,NOMBRE,COMÚN,FEMENINO,PLURAL
albañil,NOMBRE,COMÚN,MASCULINO,SINGULAR
albañiles,NOMBRE,COMÚN,MASCULINO,PLURAL
alberca,NOMBRE,COMÚN,FEMENINO,SINGULAR
albercas,NOMBRE,COMÚN,FEMENINO,PLURAL
alborozo,NOMBRE,COMÚN,MASCULINO,SINGULAR
alborozos,NOMBRE,COMÚN,MASCULINO,PLURAL
alcalde,NOMBRE,COMÚN,MASCULINO,SINGULAR
alcaldes,NOMBRE,COMÚN,MASCULINO,PLURAL
alcaldía,NOMBRE,COMÚN,FEMENINO,SINGULAR
alcaldía_mayor,NOMBRE,COMÚN,FEMENINO,SINGULAR
alcaldías,NOMBRE,COMÚN,FEMENINO,PLURAL
alcance,NOMBRE,COMÚN,MASCULINO,SINGULAR
alcances,NOMBRE,COMÚN,MASCULINO,PLURAL
alcázar,NOMBRE,COMÚN,MASCULINO,SINGULAR
alcázares,NOMBRE,COMÚN,MASCULINO,PLURAL
alcoba,NOMBRE,COMÚN,FEMENINO,SINGULAR
alcobas,NOMBRE,COMÚN,FEMENINO,PLURAL
alcohol,NOMBRE,COMÚN,MASCULINO,SINGULAR
alcohol_etílico,NOMBRE,COMÚN,MASCULINO,SINGULAR
alcoholes,NOMBRE,COMÚN,MASCULINO,PLURAL
alcoholismo,NOMBRE,COMÚN,MASCULINO,SINGULAR
alcoholismos,NOMBRE,COMÚN,MASCULINO,PLURAL
alcornoque,NOMBRE,COMÚN,COMÚN,SINGULAR
alcornoque,NOMBRE,COMÚN,MASCULINO,SINGULAR
alcornoques,NOMBRE,COMÚN,COMÚN,PLURAL
alcornoques,NOMBRE,COMÚN,MASCULINO,PLURAL
aldea,NOMBRE,COMÚN,FEMENINO,SINGULAR
aldeas,NOMBRE,COMÚN,FEMENINO,PLURAL
alegría,NOMBRE,COMÚN,FEMENINO,SINGULAR
alegrías,NOMBRE,COMÚN,FEMENINO,PLURAL
alemán,NOMBRE,COMÚN,MASCULINO,SINGULAR
alemanes,NOMBRE,COMÚN,MASCULINO,PLURAL
alero,NOMBRE,COMÚN,COMÚN,SINGULAR
alero,NOMBRE,COMÚN,MASCULINO,SINGULAR
aleros,NOMBRE,COMÚN,COMÚN,PLURAL
aleros,NOMBRE,COMÚN,MASCULINO,PLURAL
alfabeto,NOMBRE,COMÚN,MASCULINO,SINGULAR
alfabetos,NOMBRE,COMÚN,MASCULINO,PLURAL
alfiler,NOMBRE,COMÚN,MASCULINO,SINGULAR
alfileres,NOMBRE,COMÚN,MASCULINO,PLURAL
alfombra,NOMBRE,COMÚN,FEMENINO,SINGULAR
alfombras,NOMBRE,COMÚN,FEMENINO,PLURAL
álgebra,NOMBRE,COMÚN,FEMENINO,SINGULAR
álgebras,NOMBRE,COMÚN,FEMENINO,PLURAL
algodón,NOMBRE,COMÚN,MASCULINO,SINGULAR
algodones,NOMBRE,COMÚN,MASCULINO,PLURAL
algoritmo,NOMBRE,COMÚN,MASCULINO,SINGULAR
algoritmos,NOMBRE,COMÚN,MASCULINO,PLURAL
aliado,NOMBRE,COMÚN,MASCULINO,SINGULAR
aliados,NOMBRE,COMÚN,MASCULINO,PLURAL
alianza,NOMBRE,COMÚN,FEMENINO,SINGULAR
alianza_estratégica,NOMBRE,COMÚN,,
alianzas,NOMBRE,COMÚN,FEMENINO,PLURAL
aliento,NOMBRE,COMÚN,MASCULINO,SINGULAR
alientos,NOMBRE,COMÚN,MASCULINO,PLURAL
alimentación,NOMBRE,COMÚN,FEMENINO,SINGULAR
alimentaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
alimento,NOMBRE,COMÚN,MASCULINO,SINGULAR
alimentos,NOMBRE,COMÚN,MASCULINO,PLURAL
alivio,NOMBRE,COMÚN,MASCULINO,SINGULAR
alivios,NOMBRE,COMÚN,MASCULINO,PLURAL
alma,NOMBRE,COMÚN,FEMENINO,SINGULAR
alma_humana,NOMBRE,COMÚN,,
almacén,NOMBRE,COMÚN,MASCULINO,SINGULAR
almacenes,NOMBRE,COMÚN,MASCULINO,PLURAL
almas,NOMBRE,COMÚN,FEMENINO,PLURAL
almireces,NOMBRE,COMÚN,MASCULINO,PLURAL
almirez,NOMBRE,COMÚN,MASCULINO,SINGULAR
almohada,NOMBRE,COMÚN,FEMENINO,SINGULAR
almohadas,NOMBRE,COMÚN,FEMENINO,PLURAL
almuerzo,NOMBRE,COMÚN,MASCULINO,SINGULAR
almuerzos,NOMBRE,COMÚN,MASCULINO,PLURAL
alquiler,NOMBRE,COMÚN,MASCULINO,SINGULAR
alquileres,NOMBRE,COMÚN,MASCULINO,PLURAL
altar,NOMBRE,COMÚN,MASCULINO,SINGULAR
altar_mayor,NOMBRE,COMÚN,MASCULINO,SINGULAR
altares,NOMBRE,COMÚN,MASCULINO,PLURAL
altavoces,NOMBRE,COMÚN,MASCULINO,PLURAL
altavoz,NOMBRE,COMÚN,MASCULINO,SINGULAR
alteración,NOMBRE,COMÚN,FEMENINO,SINGULAR
alteraciones,NOMBRE,COMÚN,FEMENINO,PLURAL
alternancia,NOMBRE,COMÚN,FEMENINO,SINGULAR
alternancias,NOMBRE,COMÚN,FEMENINO,PLURAL
alternativa,NOMBRE,COMÚN,FEMENINO,SINGULAR
alternativas,NOMBRE,COMÚN,FEMENINO,PLURAL
altiplano,NOMBRE,COMÚN,MASCULINO,SINGULAR
altiplanos,NOMBRE,COMÚN,MASCULINO,PLURAL
altitud,NOMBRE,COMÚN,FEMENINO,SINGULAR
altitudes,NOMBRE,COMÚN,FEMENINO,PLURAL
alto_el_fuego,NOMBRE,COMÚN,MASCULINO,SINGULAR
altura,NOMBRE,COMÚN,FEMENINO,SINGULAR
alturas,NOMBRE,COMÚN,FEMENINO,PLURAL
alubia,NOMBRE,COMÚN,FEMENINO,SINGULAR
alubias,NOMBRE,COMÚN,FEMENINO,PLURAL
aluminio,NOMBRE,COMÚN,MASCULINO,SINGULAR
aluminios,NOMBRE,COMÚN,MASCULINO,PLURAL
alumno,NOMBRE,COMÚN,MASCULINO,SINGULAR
alumnos,NOMBRE,COMÚN,MASCULINO,PLURAL
alusión,NOMBRE,COMÚN,FEMENINO,SINGULAR
alusiones,NOMBRE,COMÚN,FEMENINO,PLURAL
alzada,NOMBRE,COMÚN,FEMENINO,SINGULAR
alzadas,NOMBRE,COMÚN,FEMENINO,PLURAL
amanecer,NOMBRE,COMÚN,MASCULINO,SINGULAR
amaneceres,NOMBRE,COMÚN,MASCULINO,PLURAL
amante,NOMBRE,COMÚN,COMÚN,SINGULAR
amantes,NOMBRE,COMÚN,COMÚN,PLURAL
amargura,NOMBRE,COMÚN,FEMENINO,SINGULAR
amarguras,NOMBRE,COMÚN,FEMENINO,PLURAL
ambición,NOMBRE,COMÚN,FEMENINO,SINGULAR
ambiciones,NOMBRE,COMÚN,FEMENINO,PLURAL
ambiente,NOMBRE,COMÚN,MASCULINO,SINGULAR
ambiente_de_trabajo,NOMBRE,COMÚN,,
ambiente_familiar,NOMBRE,COMÚN,,
ambiente_social,NOMBRE,COMÚN,,
ambientes,NOMBRE,COMÚN,MASCULINO,PLURAL
ambigüedad,NOMBRE,COMÚN,FEMENINO,SINGULAR
ambigüedades,NOMBRE,COMÚN,FEMENINO,PLURAL
ámbito,NOMBRE,COMÚN,MASCULINO,SINGULAR
ámbito_de_aplicación,NOMBRE,COMÚN,,
ámbito_territorial,NOMBRE,COMÚN,,
ámbitos,NOMBRE,COMÚN,MASCULINO,PLURAL
amenaza,NOMBRE,COMÚN,FEMENINO,SINGULAR
amenazas,NOMBRE,COMÚN,FEMENINO,PLURAL
americano,NOMBRE,COMÚN,MASCULINO,SINGULAR
americanos,NOMBRE,COMÚN,MASCULINO,PLURAL
ámgstrong,NOMBRE,COMÚN,MASCULINO,PLURAL
amiga,NOMBRE,COMÚN,FEMENINO,SINGULAR
amigas,NOMBRE,COMÚN,FEMENINO,PLURAL
amigo,NOMBRE,COMÚN,MASCULINO,SINGULAR
amigos,NOMBRE,COMÚN,MASCULINO,PLURAL
amistad,NOMBRE,COMÚN,FEMENINO,SINGULAR
amistades,NOMBRE,COMÚN,FEMENINO,PLURAL
amo,NOMBRE,COMÚN,MASCULINO,SINGULAR
amor,NOMBRE,COMÚN,MASCULINO,SINGULAR
amores,NOMBRE,COMÚN,MASCULINO,PLURAL
amos,NOMBRE,COMÚN,MASCULINO,PLURAL
amparo,NOMBRE,COMÚN,MASCULINO,SINGULAR
amparos,NOMBRE,COMÚN,MASCULINO,PLURAL
ampere,NOMBRE,COMÚN,MASCULINO,PLURAL
amperes,NOMBRE,COMÚN,MASCULINO,PLURAL
amperio,NOMBRE,COMÚN,MASCULINO,PLURAL
amperios,NOMBRE,COMÚN,MASCULINO,PLURAL
ampliación,NOMBRE,COMÚN,FEMENINO,SINGULAR
ampliaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
amplitud,NOMBRE,COMÚN,FEMENINO,SINGULAR
amplitudes,NOMBRE,COMÚN,FEMENINO,PLURAL
ana,NOMBRE,COMÚN,FEMENINO,SINGULAR
análisis,NOMBRE,COMÚN,MASCULINO,INVARIABLE
análisis_clónico,NOMBRE,COMÚN,,
análisis_comparativo,NOMBRE,COMÚN,,
análisis_cualitativo,NOMBRE,COMÚN,,
análisis_cuantitativo,NOMBRE,COMÚN,,
análisis_de_datos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
análisis_de_sangre,NOMBRE,COMÚN,MASCULINO,INVARIABLE
análisis_del_discurso,NOMBRE,COMÚN,MASCULINO,INVARIABLE
análisis_econímico,NOMBRE,COMÚN,,
análisis_estadístico,NOMBRE,COMÚN,,
análisis_funcional,NOMBRE,COMÚN,,
análisis_histírico,NOMBRE,COMÚN,,
análisis_químico,NOMBRE,COMÚN,,
anas,NOMBRE,COMÚN,FEMENINO,PLURAL
anatomía_humana,NOMBRE,COMÚN,MASCULINO,SINGULAR
anatomía_patológica,NOMBRE,COMÚN,MASCULINO,SINGULAR
ancho_de_banda,NOMBRE,COMÚN,MASCULINO,SINGULAR
anchura,NOMBRE,COMÚN,FEMENINO,SINGULAR
anchuras,NOMBRE,COMÚN,FEMENINO,PLURAL
anciana,NOMBRE,COMÚN,FEMENINO,SINGULAR
ancianas,NOMBRE,COMÚN,FEMENINO,PLURAL
anciano,NOMBRE,COMÚN,MASCULINO,SINGULAR
ancianos,NOMBRE,COMÚN,MASCULINO,PLURAL
andadura,NOMBRE,COMÚN,FEMENINO,SINGULAR
andaduras,NOMBRE,COMÚN,FEMENINO,PLURAL
andaluces,NOMBRE,COMÚN,MASCULINO,PLURAL
andaluz,NOMBRE,COMÚN,MASCULINO,SINGULAR
anécdota,NOMBRE,COMÚN,FEMENINO,SINGULAR
anécdotas,NOMBRE,COMÚN,FEMENINO,PLURAL
ángel,NOMBRE,COMÚN,MASCULINO,SINGULAR
ángeles,NOMBRE,COMÚN,MASCULINO,PLURAL
ángulo,NOMBRE,COMÚN,MASCULINO,SINGULAR
ángulos,NOMBRE,COMÚN,MASCULINO,PLURAL
angustia,NOMBRE,COMÚN,FEMENINO,SINGULAR
angustias,NOMBRE,COMÚN,FEMENINO,PLURAL
anillo,NOMBRE,COMÚN,MASCULINO,SINGULAR
anillos,NOMBRE,COMÚN,MASCULINO,PLURAL
animal,NOMBRE,COMÚN,MASCULINO,SINGULAR
animal_salvaje,NOMBRE,COMÚN,,
animales,NOMBRE,COMÚN,MASCULINO,PLURAL
ánimo,NOMBRE,COMÚN,MASCULINO,SINGULAR
ánimos,NOMBRE,COMÚN,MASCULINO,PLURAL
