PALABRA,CATEGORÍA,TIPO
a_espinapez,ADVERVIO,GENERAL
a_espuertas,ADVERVIO,GENERAL
a_expensas,ADVERVIO,GENERAL
a_fanegadas,ADVERVIO,GENERAL
a_fin_de_cuentas,ADVERVIO,GENERAL
a_flor_de_agua,ADVERVIO,GENERAL
a_flor_de_piel,ADVERVIO,GENERAL
a_flote,ADVERVIO,GENERAL
a_fortiori,ADVERVIO,GENERAL
a_fuego_lento,ADVERVIO,GENERAL
a_gachas,ADVERVIO,GENERAL
a_gatas,ADVERVIO,GENERAL
a_gogo,ADVERVIO,GENERAL
a_grandes_rasgos,ADVERVIO,GENERAL
a_granel,ADVERVIO,GENERAL
a_graves_penas,ADVERVIO,GENERAL
a_hito,ADVERVIO,GENERAL
a_horcajadas,ADVERVIO,GENERAL
a_hurtadillas,ADVERVIO,GENERAL
a_jarros,ADVERVIO,GENERAL
a_jornal,ADVERVIO,GENERAL
a_junta_continua,ADVERVIO,GENERAL
a_juzgar_como,ADVERVIO,GENERAL
a_la_bartola,ADVERVIO,GENERAL
a_la_buena_ventura,ADVERVIO,GENERAL
a_la_chita_callando,ADVERVIO,GENERAL
a_la_cola,ADVERVIO,GENERAL
a_la_funerala,ADVERVIO,GENERAL
a_la_inversa,ADVERVIO,GENERAL
a_la_mano_de_Dios,ADVERVIO,GENERAL
a_la_morisma,ADVERVIO,GENERAL
a_la_mujeriega,ADVERVIO,GENERAL
a_la_papillote,ADVERVIO,GENERAL
a_la_parrilla,ADVERVIO,GENERAL
a_la_pata_coja,ADVERVIO,GENERAL
a_la_pata_llana,ADVERVIO,GENERAL
a_la_paz_de_Dios,ADVERVIO,GENERAL
a_la_pendura,ADVERVIO,GENERAL
a_la_perfección,ADVERVIO,GENERAL
a_la_primera_de_cambio,ADVERVIO,GENERAL
a_la_ronza,ADVERVIO,GENERAL
a_la_sirga,ADVERVIO,GENERAL
a_la_sopa_boba,ADVERVIO,GENERAL
a_la_tentaruja,ADVERVIO,GENERAL
a_la_tirolesa,ADVERVIO,GENERAL
a_la_vez,ADVERVIO,GENERAL
a_lápiz,ADVERVIO,GENERAL
a_largas_marchas,ADVERVIO,GENERAL
a_las_calladas,ADVERVIO,GENERAL
a_las_mil_maravillas,ADVERVIO,GENERAL
a_las_primeras_de_cambio,ADVERVIO,GENERAL
a_las_puertas_de_la_muerte,ADVERVIO,GENERAL
a_las_veces,ADVERVIO,GENERAL
a_lata_por_canal,ADVERVIO,GENERAL
a_legua,ADVERVIO,GENERAL
a_leguas,ADVERVIO,GENERAL
a_libre_plática,ADVERVIO,GENERAL
a_línea_tirada,ADVERVIO,GENERAL
a_lo_bestia,ADVERVIO,GENERAL
a_lo_discreto,ADVERVIO,GENERAL
a_lo_grande,ADVERVIO,GENERAL
a_lo_largo_y_a_lo_ancho,ADVERVIO,GENERAL
a_lo_lejos,ADVERVIO,GENERAL
a_lo_loco,ADVERVIO,GENERAL
a_lo_más,ADVERVIO,GENERAL
a_lo_moderno,ADVERVIO,GENERAL
a_lo_que_parece,ADVERVIO,GENERAL
a_lo_que_salga,ADVERVIO,GENERAL
a_lo_sumo,ADVERVIO,GENERAL
a_lo_tonto,ADVERVIO,GENERAL
a_lomo,ADVERVIO,GENERAL
a_lomos,ADVERVIO,GENERAL
a_los_cuatro_vientos,ADVERVIO,GENERAL
a_los_piques,ADVERVIO,GENERAL
a_lumbre_de_pajas,ADVERVIO,GENERAL
a_lumbre_mansa,ADVERVIO,GENERAL
a_machamartillo,ADVERVIO,GENERAL
a_machote,ADVERVIO,GENERAL
a_mal_dar,ADVERVIO,GENERAL
a_malas_penas,ADVERVIO,GENERAL
a_manadas,ADVERVIO,GENERAL
a_mano_airada,ADVERVIO,GENERAL
a_mano_armada,ADVERVIO,GENERAL
a_manos_llenas,ADVERVIO,GENERAL
a_mansalva,ADVERVIO,GENERAL
a_mares,ADVERVIO,GENERAL
a_más_andar,ADVERVIO,GENERAL
a_más_correr,ADVERVIO,GENERAL
a_más_ganar,ADVERVIO,GENERAL
a_más_mejor,ADVERVIO,GENERAL
a_más_no_poder,ADVERVIO,GENERAL
a_más_tardar,ADVERVIO,GENERAL
a_más_ver,ADVERVIO,GENERAL
a_más_y_mejor,ADVERVIO,GENERAL
a_mata_caballo,ADVERVIO,GENERAL
a_matacaballo,ADVERVIO,GENERAL
a_mayor_abundamiento,ADVERVIO,GENERAL
a_mazo_y_escoplo,ADVERVIO,GENERAL
a_media_ladera,ADVERVIO,GENERAL
a_media_madera,ADVERVIO,GENERAL
a_media_margen,ADVERVIO,GENERAL
a_media_rienda,ADVERVIO,GENERAL
a_media_rodilla,ADVERVIO,GENERAL
a_media_voz,ADVERVIO,GENERAL
a_medias_palabras,ADVERVIO,GENERAL
a_medio_hacer,ADVERVIO,GENERAL
a_medio_plazo,ADVERVIO,GENERAL
a_mediodía,ADVERVIO,GENERAL
a_medios_pelos,ADVERVIO,GENERAL
a_mesa_puesta,ADVERVIO,GENERAL
a_millaradas,ADVERVIO,GENERAL
a_mis_anchas,ADVERVIO,GENERAL
a_montón,ADVERVIO,GENERAL
a_mucha_honra,ADVERVIO,GENERAL
a_muerte,ADVERVIO,GENERAL
a_muerte_o_vida,ADVERVIO,GENERAL
a_mujeriega,ADVERVIO,GENERAL
a_nado,ADVERVIO,GENERAL
a_ojo_de_buen_cubero,ADVERVIO,GENERAL
a_ojos_vistas,ADVERVIO,GENERAL
a_pan_y_cuchillo,ADVERVIO,GENERAL
a_pasatoro,ADVERVIO,GENERAL
a_paseo,ADVERVIO,GENERAL
a_paso_de_tortuga,ADVERVIO,GENERAL
a_paso_largo,ADVERVIO,GENERAL
a_pasto,ADVERVIO,GENERAL
a_peón,ADVERVIO,GENERAL
a_pesar_de_todo,ADVERVIO,GENERAL
a_peso_de_oro,ADVERVIO,GENERAL
a_pica_suelta,ADVERVIO,GENERAL
a_pico,ADVERVIO,GENERAL
a_pico_de_jarro,ADVERVIO,GENERAL
a_pie_firme,ADVERVIO,GENERAL
a_pie_llano,ADVERVIO,GENERAL
a_pierna_suelta,ADVERVIO,GENERAL
a_pipiricojo,ADVERVIO,GENERAL
a_pique_de_maceta,ADVERVIO,GENERAL
a_plazo_fijo,ADVERVIO,GENERAL
a_plazos,ADVERVIO,GENERAL
a_plomo,ADVERVIO,GENERAL
a_poco_rato,ADVERVIO,GENERAL
a_pocos_pasos,ADVERVIO,GENERAL
a_porrillo,ADVERVIO,GENERAL
a_pospelo,ADVERVIO,GENERAL
a_posteriori,ADVERVIO,GENERAL
a_pote,ADVERVIO,GENERAL
a_precio_de_coste,ADVERVIO,GENERAL
a_priori,ADVERVIO,GENERAL
a_prisa,ADVERVIO,GENERAL
a_prorrata,ADVERVIO,GENERAL
a_puchos,ADVERVIO,GENERAL
a_puerta_cerrada,ADVERVIO,GENERAL
a_puestas,ADVERVIO,GENERAL
a_punta_de_lanza,ADVERVIO,GENERAL
a_punta_de_pistola,ADVERVIO,GENERAL
a_punta_pala,ADVERVIO,GENERAL
a_puntapiés,ADVERVIO,GENERAL
a_punto_de_caramelo,ADVERVIO,GENERAL
a_punto_de_solfa,ADVERVIO,GENERAL
a_punto_fijo,ADVERVIO,GENERAL
a_punto_largo,ADVERVIO,GENERAL
a_puñados,ADVERVIO,GENERAL
a_puño_cerrado,ADVERVIO,GENERAL
a_pupilo,ADVERVIO,GENERAL
a_quema_ropa,ADVERVIO,GENERAL
a_quemarropa,ADVERVIO,GENERAL
a_rachas,ADVERVIO,GENERAL
a_raja_tabla,ADVERVIO,GENERAL
a_rajatabla,ADVERVIO,GENERAL
a_ras_de_tierra,ADVERVIO,GENERAL
a_ras_del_suelo,ADVERVIO,GENERAL
a_rastras,ADVERVIO,GENERAL
a_ratos_perdidos,ADVERVIO,GENERAL
a_raudales,ADVERVIO,GENERAL
a_reculones,ADVERVIO,GENERAL
a_regaña_dientes,ADVERVIO,GENERAL
a_regañadientes,ADVERVIO,GENERAL
a_rehala,ADVERVIO,GENERAL
a_rembolso,ADVERVIO,GENERAL
a_remiendos,ADVERVIO,GENERAL
a_remo,ADVERVIO,GENERAL
a_remojo,ADVERVIO,GENERAL
a_renglón_seguido,ADVERVIO,GENERAL
a_reo,ADVERVIO,GENERAL
a_repecho,ADVERVIO,GENERAL
a_repelo,ADVERVIO,GENERAL
a_repelones,ADVERVIO,GENERAL
a_resto_abierto,ADVERVIO,GENERAL
a_revienta_cinchas,ADVERVIO,GENERAL
a_rienda_suelta,ADVERVIO,GENERAL
a_riesgo_y_ventura,ADVERVIO,GENERAL
a_río_revuelto,ADVERVIO,GENERAL
a_rodeabrazo,ADVERVIO,GENERAL
a_rompejunta,ADVERVIO,GENERAL
a_rostro_firme,ADVERVIO,GENERAL
a_ruche,ADVERVIO,GENERAL
a_sabiendas,ADVERVIO,GENERAL
a_salto_de_mata,ADVERVIO,GENERAL
a_saltos,ADVERVIO,GENERAL
a_sangre_caliente,ADVERVIO,GENERAL
a_sangre_fría,ADVERVIO,GENERAL
a_sangre_y_fuego,ADVERVIO,GENERAL
a_santo_de_qué,ADVERVIO,GENERAL
a_sardinel,ADVERVIO,GENERAL
a_seguir_bien,ADVERVIO,GENERAL
a_so_capa,ADVERVIO,GENERAL
a_sobre_haz,ADVERVIO,GENERAL
a_sobre_peine,ADVERVIO,GENERAL
a_sobremano,ADVERVIO,GENERAL
a_socapa,ADVERVIO,GENERAL
a_soga,ADVERVIO,GENERAL
a_solapo,ADVERVIO,GENERAL
a_solas,ADVERVIO,GENERAL
a_solaz,ADVERVIO,GENERAL
a_sotamano,ADVERVIO,GENERAL
a_sotavento,ADVERVIO,GENERAL
a_su_imagen_y_semejanza,ADVERVIO,GENERAL
a_sus_anchas,ADVERVIO,GENERAL
a_teja_vana,ADVERVIO,GENERAL
a_tientas,ADVERVIO,GENERAL
a_tiento,ADVERVIO,GENERAL
a_tirada,ADVERVIO,GENERAL
a_tiro_de_ballesta,ADVERVIO,GENERAL
a_tiro_de_pistola,ADVERVIO,GENERAL
a_tiro_limpio,ADVERVIO,GENERAL
a_tizón,ADVERVIO,GENERAL
a_toca_ropa,ADVERVIO,GENERAL
a_toca_teja,ADVERVIO,GENERAL
a_tocateja,ADVERVIO,GENERAL
a_toda_brida,ADVERVIO,GENERAL
a_toda_costa,ADVERVIO,GENERAL
a_toda_furia,ADVERVIO,GENERAL
a_toda_hostia,ADVERVIO,GENERAL
a_toda_leche,ADVERVIO,GENERAL
a_toda_ley,ADVERVIO,GENERAL
a_toda_máquina,ADVERVIO,GENERAL
a_toda_marcha,ADVERVIO,GENERAL
a_toda_mecha,ADVERVIO,GENERAL
a_toda_pastilla,ADVERVIO,GENERAL
a_toda_plana,ADVERVIO,GENERAL
a_toda_prisa,ADVERVIO,GENERAL
a_toda_rienda,ADVERVIO,GENERAL
a_todas_estas,ADVERVIO,GENERAL
a_todas_horas,ADVERVIO,GENERAL
a_todo_andar,ADVERVIO,GENERAL
a_todo_correr,ADVERVIO,GENERAL
a_todo_evento,ADVERVIO,GENERAL
a_todo_gas,ADVERVIO,GENERAL
a_todo_lo_largo,ADVERVIO,GENERAL
a_todo_meter,ADVERVIO,GENERAL
a_todo_moler,ADVERVIO,GENERAL
a_todo_pasto,ADVERVIO,GENERAL
a_todo_riesgo,ADVERVIO,GENERAL
a_todo_ruedo,ADVERVIO,GENERAL
a_todo_tirar,ADVERVIO,GENERAL
a_todo_trance,ADVERVIO,GENERAL
a_todo_vapor,ADVERVIO,GENERAL
a_tontas_y_a_locas,ADVERVIO,GENERAL
a_topa_tolondro,ADVERVIO,GENERAL
a_tope,ADVERVIO,GENERAL
a_toque_de_campana,ADVERVIO,GENERAL
a_torna_peón,ADVERVIO,GENERAL
a_torna_punta,ADVERVIO,GENERAL
a_torno,ADVERVIO,GENERAL
a_traición,ADVERVIO,GENERAL
a_trancas_y_barrancas,ADVERVIO,GENERAL
a_trancos,ADVERVIO,GENERAL
a_traque_barraque,ADVERVIO,GENERAL
a_trompa_y_talega,ADVERVIO,GENERAL
a_trompicones,ADVERVIO,GENERAL
a_tropezones,ADVERVIO,GENERAL
a_trueque,ADVERVIO,GENERAL
a_tuertas,ADVERVIO,GENERAL
a_tuertas_o_a_derechas,ADVERVIO,GENERAL
a_tuerto_o_a_derecho,ADVERVIO,GENERAL
a_tutiplén,ADVERVIO,GENERAL
a_ultranza,ADVERVIO,GENERAL
a_un_lado_y_otro,ADVERVIO,GENERAL
a_un_solo_efecto,ADVERVIO,GENERAL
a_uno_y_otro_lado,ADVERVIO,GENERAL
a_upa,ADVERVIO,GENERAL
a_vida_o_muerte,ADVERVIO,GENERAL
a_vista_de_pájaro,ADVERVIO,GENERAL
a_viva_voz,ADVERVIO,GENERAL
a_voz_en_cuello,ADVERVIO,GENERAL
a_voz_en_grito,ADVERVIO,GENERAL
a_vuela_pluma,ADVERVIO,GENERAL
a_vuelapluma,ADVERVIO,GENERAL
a_vuelco_de_dado,ADVERVIO,GENERAL
a_vuelta_de_correo,ADVERVIO,GENERAL
a_vuelta_de_ojo,ADVERVIO,GENERAL
a_vuelta_de_ojos,ADVERVIO,GENERAL
ab_initio,ADVERVIO,GENERAL
ab_intestato,ADVERVIO,GENERAL
ab_ovo,ADVERVIO,GENERAL
abajo,ADVERVIO,GENERAL
acá,ADVERVIO,GENERAL
acaso,ADVERVIO,GENERAL
ad_hoc,ADVERVIO,GENERAL
ad_interim,ADVERVIO,GENERAL
ad_lib,ADVERVIO,GENERAL
ad_libitum,ADVERVIO,GENERAL
ad_litem,ADVERVIO,GENERAL
ad_litteram,ADVERVIO,GENERAL
ad_quadrantum,ADVERVIO,GENERAL
ad_triangulum,ADVERVIO,GENERAL
ad_valorem,ADVERVIO,GENERAL
adelante,ADVERVIO,GENERAL
además,ADVERVIO,GENERAL
además_de_eso,ADVERVIO,GENERAL
adentro,ADVERVIO,GENERAL
adrede,ADVERVIO,GENERAL
afuera,ADVERVIO,GENERAL
ahí,ADVERVIO,GENERAL
ahí_es_nada,ADVERVIO,GENERAL
ahí_le_duele,ADVERVIO,GENERAL
ahora,ADVERVIO,GENERAL
ahora_bien,ADVERVIO,GENERAL
al_alcance_de_la_mano,ADVERVIO,GENERAL
al_apa,ADVERVIO,GENERAL
al_avemaría,ADVERVIO,GENERAL
al_bies,ADVERVIO,GENERAL
al_carboncillo,ADVERVIO,GENERAL
al_chas_chas,ADVERVIO,GENERAL
al_cien_por_cien,ADVERVIO,GENERAL
al_cierre_del_ejercicio,ADVERVIO,GENERAL
al_clarear_el_día,ADVERVIO,GENERAL
al_correr_de_la_pluma,ADVERVIO,GENERAL
al_correr_del_tiempo,ADVERVIO,GENERAL
al_desbarate,ADVERVIO,GENERAL
al_descuido_y_con_cuidado,ADVERVIO,GENERAL
al_desgaire,ADVERVIO,GENERAL
al_detall,ADVERVIO,GENERAL
al_estricote,ADVERVIO,GENERAL
al_filo_de_mediodía,ADVERVIO,GENERAL
al_fin_de_la_jornada,ADVERVIO,GENERAL
al_fin_y_a_la_postre,ADVERVIO,GENERAL
al_fin_y_al_cabo,ADVERVIO,GENERAL
al_grill,ADVERVIO,GENERAL
al_hilo,ADVERVIO,GENERAL
al_hilo_de_mediodía,ADVERVIO,GENERAL
al_hilo_del_viento,ADVERVIO,GENERAL
al_libre_albedrío,ADVERVIO,GENERAL
al_lucero_del_alba,ADVERVIO,GENERAL
al_mejor_tiempo,ADVERVIO,GENERAL
al_paño,ADVERVIO,GENERAL
al_pie_de_fábrica,ADVERVIO,GENERAL
al_pie_de_la_cuesta,ADVERVIO,GENERAL
al_pie_de_la_letra,ADVERVIO,GENERAL
al_pie_de_la_obra,ADVERVIO,GENERAL
al_poco_rato,ADVERVIO,GENERAL
al_por_mayor,ADVERVIO,GENERAL
al_por_menor,ADVERVIO,GENERAL
al_primer_envite,ADVERVIO,GENERAL
al_primer_folio,ADVERVIO,GENERAL
al_primer_gallo,ADVERVIO,GENERAL
al_primer_golpe_de_vista,ADVERVIO,GENERAL
al_primer_impulso,ADVERVIO,GENERAL
al_rape,ADVERVIO,GENERAL
al_raso,ADVERVIO,GENERAL
al_rededor,ADVERVIO,GENERAL
al_retortero,ADVERVIO,GENERAL
al_rojo_blanco,ADVERVIO,GENERAL
al_rojo_cereza,ADVERVIO,GENERAL
al_sesgo,ADVERVIO,GENERAL
al_socaire,ADVERVIO,GENERAL
al_temple,ADVERVIO,GENERAL
al_tendido,ADVERVIO,GENERAL
al_tresbolillo,ADVERVIO,GENERAL
al_volateo,ADVERVIO,GENERAL
alerta,ADVERVIO,GENERAL
algo,ADVERVIO,GENERAL
alguna_que_otra_vez,ADVERVIO,GENERAL
algunas_veces,ADVERVIO,GENERAL
alguno_que_otro,ADVERVIO,GENERAL
allá,ADVERVIO,GENERAL
allá_se_andan,ADVERVIO,GENERAL
allá_se_las_avenga,ADVERVIO,GENERAL
allá_se_las_componga,ADVERVIO,GENERAL
allá_se_las_haya,ADVERVIO,GENERAL
allá_se_las_hayan,ADVERVIO,GENERAL
allá_se_van,ADVERVIO,GENERAL
allí,ADVERVIO,GENERAL
alrededor,ADVERVIO,GENERAL
anoche,ADVERVIO,GENERAL
antaño,ADVERVIO,GENERAL
anteanoche,ADVERVIO,GENERAL
anteanteayer,ADVERVIO,GENERAL
anteayer,ADVERVIO,GENERAL
antes,ADVERVIO,GENERAL
antes_bien,ADVERVIO,GENERAL
antes_pues,ADVERVIO,GENERAL
antes_que_nada,ADVERVIO,GENERAL
aparte,ADVERVIO,GENERAL
apenas,ADVERVIO,GENERAL
aposta,ADVERVIO,GENERAL
aquí,ADVERVIO,GENERAL
arriba,ADVERVIO,GENERAL
así,ADVERVIO,GENERAL
así_como_también,ADVERVIO,GENERAL
así_como_tampoco,ADVERVIO,GENERAL
así_pues,ADVERVIO,GENERAL
así_y_todo,ADVERVIO,GENERAL
asimismo,ADVERVIO,GENERAL
atrás,ADVERVIO,GENERAL
aun,ADVERVIO,GENERAL
aún,ADVERVIO,GENERAL
aún_así,ADVERVIO,GENERAL
aún_con_eso,ADVERVIO,GENERAL
aún_cuando,ADVERVIO,GENERAL
ayer,ADVERVIO,GENERAL
ayer_noche,ADVERVIO,GENERAL
bajo_cuerda,ADVERVIO,GENERAL
bajo_juramento,ADVERVIO,GENERAL
bajo_llave,ADVERVIO,GENERAL
bajo_mano,ADVERVIO,GENERAL
bajo_ningún_concepto,ADVERVIO,GENERAL
bajo_siete_llaves,ADVERVIO,GENERAL
bastante,ADVERVIO,GENERAL
bien,ADVERVIO,GENERAL
bien_mirado,ADVERVIO,GENERAL
bien_que_mal,ADVERVIO,GENERAL
boca_arriba,ADVERVIO,GENERAL
cada_cosa_por_su_lado,ADVERVIO,GENERAL
cada_dos_por_tres,ADVERVIO,GENERAL
cara_a_cara,ADVERVIO,GENERAL
cara_abajo,ADVERVIO,GENERAL
cara_arriba,ADVERVIO,GENERAL
carpe_diem,ADVERVIO,GENERAL
casi,ADVERVIO,GENERAL
cerca,ADVERVIO,GENERAL
cien_por_cien,ADVERVIO,GENERAL
ciento_por_ciento,ADVERVIO,GENERAL
ciento_y_la_madre,ADVERVIO,GENERAL
claro,ADVERVIO,GENERAL
cochite_hervite,ADVERVIO,GENERAL
codo_a_codo,ADVERVIO,GENERAL
codo_con_codo,ADVERVIO,GENERAL
como_a_los_ojos_de_su_cara,ADVERVIO,GENERAL
como_a_real_de_enemigo,ADVERVIO,GENERAL
como_ahora_es_de_día,ADVERVIO,GENERAL
como_alma_que_lleva_el_diablo,ADVERVIO,GENERAL
como_caído_de_las_nubes,ADVERVIO,GENERAL
como_de_la_noche_al_día,ADVERVIO,GENERAL
como_dos_y_dos_son_cuatro,ADVERVIO,GENERAL
como_el_convidado_de_piedra,ADVERVIO,GENERAL
como_el_día_a_la_noche,ADVERVIO,GENERAL
como_el_perro_y_el_gato,ADVERVIO,GENERAL
como_es_de_día,ADVERVIO,GENERAL
como_es_debido,ADVERVIO,GENERAL
como_está_mandado,ADVERVIO,GENERAL
como_estamos_aquí_tú_y_yo,ADVERVIO,GENERAL
como_hay_Dios,ADVERVIO,GENERAL
como_hecho_de_encargo,ADVERVIO,GENERAL
como_la_palma_de_la_mano,ADVERVIO,GENERAL
como_los_chorros_del_oro,ADVERVIO,GENERAL
como_mínimo,ADVERVIO,GENERAL
como_mucho,ADVERVIO,GENERAL
como_oro_en_paño,ADVERVIO,GENERAL
como_Pedro_por_su_casa,ADVERVIO,GENERAL
como_por_ensalmo,ADVERVIO,GENERAL
como_quien_dice,ADVERVIO,GENERAL
como_quien_no_quiere_la_cosa,ADVERVIO,GENERAL
como_quien_oye_llover,ADVERVIO,GENERAL
como_si_no_hubiera_dicho_nada,ADVERVIO,GENERAL
como_si_tal_cosa,ADVERVIO,GENERAL
como_un_pepe,ADVERVIO,GENERAL
con_claridad_meridiana,ADVERVIO,GENERAL
con_conocimiento_de_causa,ADVERVIO,GENERAL
con_creces,ADVERVIO,GENERAL
con_el_culo_al_aire,ADVERVIO,GENERAL
con_el_ojo_tan_largo,ADVERVIO,GENERAL
con_el_sudor_de_la_frente,ADVERVIO,GENERAL
con_la_ayuda_de_Dios,ADVERVIO,GENERAL
con_la_boca_abierta,ADVERVIO,GENERAL
con_la_casa_a_cuestas,ADVERVIO,GENERAL
con_la_espada_desnuda,ADVERVIO,GENERAL
con_la_frente_alta,ADVERVIO,GENERAL
con_la_frente_bien_alta,ADVERVIO,GENERAL
con_la_frente_levantada,ADVERVIO,GENERAL
con_la_lengua_de_un_palmo,ADVERVIO,GENERAL
con_la_lengua_fuera,ADVERVIO,GENERAL
con_la_mano_en_el_corazón,ADVERVIO,GENERAL
con_la_música_a_otra_parte,ADVERVIO,GENERAL
con_la_soga_al_cuello,ADVERVIO,GENERAL
con_la_vida_en_un_hilo,ADVERVIO,GENERAL
con_las_manos_cruzadas,ADVERVIO,GENERAL
con_las_manos_vacías,ADVERVIO,GENERAL
con_las_orejas_caídas,ADVERVIO,GENERAL
con_las_orejas_gachas,ADVERVIO,GENERAL
con_las_orejas_tan_largas,ADVERVIO,GENERAL
con_las_piernas_cruzadas,ADVERVIO,GENERAL
con_los_cinco_sentidos,ADVERVIO,GENERAL
con_los_ojos_cerrados,ADVERVIO,GENERAL
con_los_pies_delante,ADVERVIO,GENERAL
con_mal_pie,ADVERVIO,GENERAL
con_mala_idea,ADVERVIO,GENERAL
con_mano_escasa,ADVERVIO,GENERAL
con_mano_pesada,ADVERVIO,GENERAL
con_mil_amores,ADVERVIO,GENERAL
con_miquis,ADVERVIO,GENERAL
con_moto,ADVERVIO,GENERAL
con_mucho_gusto,ADVERVIO,GENERAL
con_pelos_y_señales,ADVERVIO,GENERAL
con_pies_de_plomo,ADVERVIO,GENERAL
con_puntos_y_comas,ADVERVIO,GENERAL
con_sordina,ADVERVIO,GENERAL
con_toda_la_barba,ADVERVIO,GENERAL
con_toda_la_boca,ADVERVIO,GENERAL
con_toda_normalidad,ADVERVIO,GENERAL
con_todas_las_de_la_ley,ADVERVIO,GENERAL
con_todo_y_con_eso,ADVERVIO,GENERAL
con_un_palmo_de_lengua,ADVERVIO,GENERAL
con_uñas_y_dientes,ADVERVIO,GENERAL
con_viento_fresco,ADVERVIO,GENERAL
con_zurrapas,ADVERVIO,GENERAL
conforme,ADVERVIO,GENERAL
consecutio_temporum,ADVERVIO,GENERAL
contra_reloj,ADVERVIO,GENERAL
contra_rembolso,ADVERVIO,GENERAL
contra_viento_y_marea,ADVERVIO,GENERAL
corpore_insepulto,ADVERVIO,GENERAL
cuanto,ADVERVIO,GENERAL
cuanto_antes,ADVERVIO,GENERAL
da_capo,ADVERVIO,GENERAL
darse_de_alta,ADVERVIO,GENERAL
