PALABRA,CATEGORÍA,TIPO,GENERO,NÚMERO,FUNCIÓN
adolescentes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
área,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
áreas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
áreo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
áreos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
afectiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
afectivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
afectivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
afectivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
afín,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
afines,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
africana,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
africanas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
africano,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
africanos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
ágil,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
ágiles,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
agradable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
agradables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
agraria,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
agrarias,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
agrario,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
agrarios,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
agresiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
agresivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
agresivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
agresivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
agria,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
agrias,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
agrícola,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
agrícolas,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
agrio,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
agrios,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
aguda,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
agudas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
agudo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
agudos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
aislada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
aisladas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
aislado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
aislados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
ajena,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
ajenas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
ajeno,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
ajenos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
alarmante,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
alarmantes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
alcohólica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
alcohólicas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
alcohólico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
alcohólicos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
alegre,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
alegres,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
alejada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
alejadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
alejado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
alejados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
alemán,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
alemana,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
alemanas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
alemanes,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
algebraica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
algebraicas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
algebraico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
algebraicos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
algodonera,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
algodoneras,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
algodonero,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
algodoneros,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
alimentaria,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
alimentarias,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
alimentario,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
alimentarios,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
alpina,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
alpinas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
alpino,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
alpinos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
alta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
altas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
alternativa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
alternativas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
alternativo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
alternativos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
altiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
altivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
altivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
altivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
alto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
altos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
aluvial,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
aluviales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
amable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
amables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
amarga,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
amargas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
amargo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
amargos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
amarilla,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
amarillas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
amarillo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
amarillos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
ambiciosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
ambiciosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
ambicioso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
ambiciosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
ambiental,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
ambientales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
ambigua,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
ambiguas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
ambiguo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
ambiguos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
americana,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
americanas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
americano,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
americanos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
amiga,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
amigas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
amigo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
amigos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
amistosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
amistosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
amistoso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
amistosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
amorosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
amorosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
amoroso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
amorosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
amplia,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
amplias,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
amplio,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
amplios,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
análoga,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
análogas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
análogo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
análogos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
ancha,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
anchas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
ancho,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
anchos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
andaluces,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
andaluz,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
andaluza,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
andaluzas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
andorrana,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
andorranas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
andorrano,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
andorranos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
angustiosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
angustiosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
angustioso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
angustiosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
anómala,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
anómalas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
anómalo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
anómalos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
anónima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
anónimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
anónimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
anónimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
anormal,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
anormales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
ansiosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
ansiosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
ansioso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
ansiosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
antártica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
antárticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
antártico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
antárticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
antepenúltima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
antepenúltimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
antepenúltimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
antepenúltimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
anterior,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
anteriores,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
antigua,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
antiguas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
antiguo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
antiguos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
anual,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
anuales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
apacible,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
apacibles,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
aparente,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
aparentes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
apasionante,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
apasionantes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
aplicable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
aplicables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
aplicada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
aplicadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
aplicado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
aplicados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
apropiada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
apropiadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
apropiado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
apropiados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
aproximada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
aproximadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
aproximado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
aproximados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
apuesta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
apuestas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
apuesto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
apuestos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
árabe,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
árabes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
arábiga,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
arábigas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
arábigo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
arábigos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
arbórea,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
arbóreas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
arbóreo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
arbóreos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
arcaica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
arcaicas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
arcaico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
arcaicos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
ardiente,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
ardientes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
arenosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
arenosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
arenoso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
arenosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
argentina,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
argentinas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
argentino,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
argentinos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
árida,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
áridas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
árido,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
áridos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
arisca,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
ariscas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
arisco,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
ariscos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
aritmética,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
aritméticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
aritmético,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
aritméticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
arqueológica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
arqueológicas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
arqueológico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
arqueológicos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
artesanal,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
artesanales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
ártica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
árticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
ártico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
árticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
artificial,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
artificiales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
artística,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
artísticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
artístico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
artísticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
ascendente,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
ascendentes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
asombrosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
asombrosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
asombroso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
asombrosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
áspera,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
ásperas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
áspero,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
ásperos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
astuta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
astutas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
astuto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
astutos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
atenta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
atentas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
atento,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
atentos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
atlántica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
atlánticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
atlántico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
atlánticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
atómica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
atómicas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
atómico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
atómicos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
átona,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
átonas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
atónita,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
atónitas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
atónito,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
atónitos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
átono,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
átonos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
atontada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
atontadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
atontado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
atontados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
atractiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
atractivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
atractivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
atractivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
atribuible,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
