PALABRA,CATEGORIA,TIPO,PERSONA,GENERO,NUMERO,NUMERO_POSEEDOR
tuya,DETERMINANTE,POSESIVO,SEGUNDA,FEMENINO,SINGULAR,SINGULAR
tuyas,DETERMINANTE,POSESIVO,SEGUNDA,FEMENINO,PLURAL,SINGULAR
tuyo,DETERMINANTE,POSESIVO,SEGUNDA,MASCULINO,SINGULAR,SINGULAR
tuyos,DETERMINANTE,POSESIVO,SEGUNDA,MASCULINO,PLURAL,SINGULAR
un,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
una,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
unas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
unos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
varias,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
varios,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
vuestra,DETERMINANTE,POSESIVO,SEGUNDA,FEMENINO,SINGULAR,PLURAL
vuestras,DETERMINANTE,POSESIVO,SEGUNDA,FEMENINO,PLURAL,PLURAL
vuestro,DETERMINANTE,POSESIVO,SEGUNDA,MASCULINO,SINGULAR,PLURAL
vuestros,DETERMINANTE,POSESIVO,SEGUNDA,MASCULINO,PLURAL,PLURAL
