PALABRA,CATEGORIA,TIPO,GENERO,NUMERO
acción_militar,NOMBRE,COMÚN,,
acción_pública,NOMBRE,COMÚN,,
acciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aceite,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aceite_de_oliva_virgen,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aceites,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acentos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aceptación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aceptaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acequia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acequias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acera,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aceras,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acero,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aceros,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acervo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acervos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ácido,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acido_acético,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acido_clorhídrico,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ácido_fólico,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ácido_láctico,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ácido_sulfúrico,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ácido_úrico,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ácidos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acierto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aciertos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acompañante,NOMBRE,COMÚN,COMÚN,INVARIABLE
acompañantes,NOMBRE,COMÚN,COMÚN,INVARIABLE
acontecimiento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acontecimientos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acre,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acre_pie,NOMBRE,COMÚN,,
acreedor,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acreedores,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acres,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acta,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acta_de_defunción,NOMBRE,COMÚN,,
acta_de_nacimiento,NOMBRE,COMÚN,,
acta_final,NOMBRE,COMÚN,,
actas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actitud,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actitudes,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actividad,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actividad_artística,NOMBRE,COMÚN,,
actividad_econímica,NOMBRE,COMÚN,,
actividad_empresarial,NOMBRE,COMÚN,,
actividad_extraescolar,NOMBRE,COMÚN,,
actividad_financiera,NOMBRE,COMÚN,,
actividad_humana,NOMBRE,COMÚN,,
actividad_industrial,NOMBRE,COMÚN,,
actividad_pesquera,NOMBRE,COMÚN,,
actividades,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actividades_al_aire_libre,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acto_administrativo,NOMBRE,COMÚN,,
acto_impugnado,NOMBRE,COMÚN,,
acto_jurídico,NOMBRE,COMÚN,,
actor,NOMBRE,COMÚN,MASCULINO,INVARIABLE
actores,NOMBRE,COMÚN,MASCULINO,INVARIABLE
actos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
actrices,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actriz,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actuación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actuación_administrativa,NOMBRE,COMÚN,,
actuación_judicial,NOMBRE,COMÚN,,
actuaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actualidad,NOMBRE,COMÚN,FEMENINO,INVARIABLE
actualidades,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acuerdo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acuerdo_de_paz,NOMBRE,COMÚN,,
acuerdo_internacional,NOMBRE,COMÚN,,
acuerdos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acumulación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acumulaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acusación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acusaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acusado,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acusados,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adaptación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adaptaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adelanto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adelantos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ademán,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ademanes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adhesión,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adhesiones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adiós,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adioses,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adjetivo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adjetivos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
administración,NOMBRE,COMÚN,FEMENINO,INVARIABLE
administración_civil,NOMBRE,COMÚN,,
administración_del_estado,NOMBRE,COMÚN,,
administración_educativa,NOMBRE,COMÚN,,
administración_general,NOMBRE,COMÚN,,
administración_municipal,NOMBRE,COMÚN,,
administraciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
administrador,NOMBRE,COMÚN,MASCULINO,INVARIABLE
administradores,NOMBRE,COMÚN,MASCULINO,INVARIABLE
admiración,NOMBRE,COMÚN,FEMENINO,INVARIABLE
admiraciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adobo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adobos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adolescencia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adolescencias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adolescente,NOMBRE,COMÚN,COMÚN,INVARIABLE
adolescentes,NOMBRE,COMÚN,COMÚN,INVARIABLE
adopción,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adopciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adorno,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adornos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adquisición,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adquisiciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
adulto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adultos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adversario,NOMBRE,COMÚN,MASCULINO,INVARIABLE
adversarios,NOMBRE,COMÚN,MASCULINO,INVARIABLE
advertencia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
advertencias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aeropuerto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aeropuerto_internacional,NOMBRE,COMÚN,,
aeropuertos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aes,NOMBRE,COMÚN,FEMENINO,INVARIABLE
afín,NOMBRE,COMÚN,MASCULINO,INVARIABLE
afanes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
afección,NOMBRE,COMÚN,FEMENINO,INVARIABLE
afecciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
afecto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
afectos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
afición,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aficionado,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aficionados,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aficiones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
afiliado,NOMBRE,COMÚN,MASCULINO,INVARIABLE
afiliados,NOMBRE,COMÚN,MASCULINO,INVARIABLE
afinidad,NOMBRE,COMÚN,FEMENINO,INVARIABLE
afinidades,NOMBRE,COMÚN,FEMENINO,INVARIABLE
afirmación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
afirmaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
afloramiento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
afloramientos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
afluente,NOMBRE,COMÚN,COMÚN,INVARIABLE
afluentes,NOMBRE,COMÚN,COMÚN,INVARIABLE
agencia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agencia_de_protección_de_datos,NOMBRE,COMÚN,,
agencia_de_viajes,NOMBRE,COMÚN,,
agencia_espacial_europea,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agencias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agenda_electrónica,NOMBRE,COMÚN,,
agente,NOMBRE,COMÚN,COMÚN,INVARIABLE
agente,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agente_social,NOMBRE,COMÚN,,
agentes,NOMBRE,COMÚN,COMÚN,INVARIABLE
agentes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agitación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agitaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agosto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agostos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agresión,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agresión_sexual,NOMBRE,COMÚN,,
agresiones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agresividad,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agresividades,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agricultor,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agricultores,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agricultura,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agriculturas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agrupación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agrupaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agrupamiento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agrupamientos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agua,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agua_destilada,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agua_dulce,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agua_subterránea,NOMBRE,COMÚN,,
agua_superficial,NOMBRE,COMÚN,,
aguas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aguas_continentales,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aguas_pluviales,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aguas_territoriales,NOMBRE,COMÚN,FEMENINO,INVARIABLE
águila,NOMBRE,COMÚN,FEMENINO,INVARIABLE
águilas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aguja,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agujas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
agujero,NOMBRE,COMÚN,MASCULINO,INVARIABLE
agujeros,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ahínco,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ahíncos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ahorro,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ahorros,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aire,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aire_puro,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aires,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aislamiento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aislamiento_térmico,NOMBRE,COMÚN,,
aislamientos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ala,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alameda,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alamedas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alarma,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alarmas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
albañil,NOMBRE,COMÚN,MASCULINO,INVARIABLE
albañiles,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alberca,NOMBRE,COMÚN,FEMENINO,INVARIABLE
albercas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alborozo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alborozos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcalde,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcaldes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcaldía,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alcaldía_mayor,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alcaldías,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alcance,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcances,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcázar,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcázares,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcoba,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alcobas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alcohol,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcohol_etílico,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcoholes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcoholismo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcoholismos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcornoque,NOMBRE,COMÚN,COMÚN,INVARIABLE
alcornoque,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alcornoques,NOMBRE,COMÚN,COMÚN,INVARIABLE
alcornoques,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aldea,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aldeas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alegría,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alegrías,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alemán,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alemanes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alero,NOMBRE,COMÚN,COMÚN,INVARIABLE
alero,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aleros,NOMBRE,COMÚN,COMÚN,INVARIABLE
aleros,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alfabeto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alfabetos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alfiler,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alfileres,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alfombra,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alfombras,NOMBRE,COMÚN,FEMENINO,INVARIABLE
álgebra,NOMBRE,COMÚN,FEMENINO,INVARIABLE
álgebras,NOMBRE,COMÚN,FEMENINO,INVARIABLE
algodón,NOMBRE,COMÚN,MASCULINO,INVARIABLE
algodones,NOMBRE,COMÚN,MASCULINO,INVARIABLE
algoritmo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
algoritmos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aliado,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aliados,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alianza,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alianza_estratégica,NOMBRE,COMÚN,,
alianzas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aliento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alientos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alimentación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alimentaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alimento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alimentos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alivio,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alivios,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alma,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alma_humana,NOMBRE,COMÚN,,
almacén,NOMBRE,COMÚN,MASCULINO,INVARIABLE
almacenes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
almas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
almireces,NOMBRE,COMÚN,MASCULINO,INVARIABLE
almirez,NOMBRE,COMÚN,MASCULINO,INVARIABLE
almohada,NOMBRE,COMÚN,FEMENINO,INVARIABLE
almohadas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
almuerzo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
almuerzos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alquiler,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alquileres,NOMBRE,COMÚN,MASCULINO,INVARIABLE
altar,NOMBRE,COMÚN,MASCULINO,INVARIABLE
altar_mayor,NOMBRE,COMÚN,MASCULINO,INVARIABLE
altares,NOMBRE,COMÚN,MASCULINO,INVARIABLE
altavoces,NOMBRE,COMÚN,MASCULINO,INVARIABLE
altavoz,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alteración,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alteraciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alternancia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alternancias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alternativa,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alternativas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
altiplano,NOMBRE,COMÚN,MASCULINO,INVARIABLE
altiplanos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
altitud,NOMBRE,COMÚN,FEMENINO,INVARIABLE
altitudes,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alto_el_fuego,NOMBRE,COMÚN,MASCULINO,INVARIABLE
altura,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alturas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alubia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alubias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aluminio,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aluminios,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alumno,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alumnos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
alusión,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alusiones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alzada,NOMBRE,COMÚN,FEMENINO,INVARIABLE
alzadas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amanecer,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amaneceres,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amante,NOMBRE,COMÚN,COMÚN,INVARIABLE
amantes,NOMBRE,COMÚN,COMÚN,INVARIABLE
amargura,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amarguras,NOMBRE,COMÚN,FEMENINO,INVARIABLE
ambición,NOMBRE,COMÚN,FEMENINO,INVARIABLE
ambiciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
ambiente,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ambiente_de_trabajo,NOMBRE,COMÚN,,
ambiente_familiar,NOMBRE,COMÚN,,
ambiente_social,NOMBRE,COMÚN,,
ambientes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ambigüedad,NOMBRE,COMÚN,FEMENINO,INVARIABLE
ambigüedades,NOMBRE,COMÚN,FEMENINO,INVARIABLE
ámbito,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ámbito_de_aplicación,NOMBRE,COMÚN,,
ámbito_territorial,NOMBRE,COMÚN,,
ámbitos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amenaza,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amenazas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
americano,NOMBRE,COMÚN,MASCULINO,INVARIABLE
americanos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ámgstrong,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amiga,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amigas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amigo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amigos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amistad,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amistades,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amor,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amores,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amparo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amparos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ampere,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amperes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amperio,NOMBRE,COMÚN,MASCULINO,INVARIABLE
amperios,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ampliación,NOMBRE,COMÚN,FEMENINO,INVARIABLE
ampliaciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amplitud,NOMBRE,COMÚN,FEMENINO,INVARIABLE
amplitudes,NOMBRE,COMÚN,FEMENINO,INVARIABLE
ana,NOMBRE,COMÚN,FEMENINO,INVARIABLE
análisis,NOMBRE,COMÚN,MASCULINO,INVARIABLE
análisis_clónico,NOMBRE,COMÚN,,
análisis_comparativo,NOMBRE,COMÚN,,
análisis_cualitativo,NOMBRE,COMÚN,,
análisis_cuantitativo,NOMBRE,COMÚN,,
análisis_de_datos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
análisis_de_sangre,NOMBRE,COMÚN,MASCULINO,INVARIABLE
análisis_del_discurso,NOMBRE,COMÚN,MASCULINO,INVARIABLE
análisis_econímico,NOMBRE,COMÚN,,
análisis_estadístico,NOMBRE,COMÚN,,
análisis_funcional,NOMBRE,COMÚN,,
análisis_histírico,NOMBRE,COMÚN,,
análisis_químico,NOMBRE,COMÚN,,
anas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
anatomía_humana,NOMBRE,COMÚN,MASCULINO,INVARIABLE
anatomía_patológica,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ancho_de_banda,NOMBRE,COMÚN,MASCULINO,INVARIABLE
anchura,NOMBRE,COMÚN,FEMENINO,INVARIABLE
anchuras,NOMBRE,COMÚN,FEMENINO,INVARIABLE
anciana,NOMBRE,COMÚN,FEMENINO,INVARIABLE
ancianas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
anciano,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ancianos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
andadura,NOMBRE,COMÚN,FEMENINO,INVARIABLE
